Year,Date,Temparature
2018,1,11.7
2018,2,16.7
2018,3,19.3
2018,4,12.3
2018,5,9.1
2018,6,4.3
2018,7,10.4
2018,8,9
2018,9,6.9
2018,10,12.3
2018,11,14.6
2018,12,17.1
2018,13,13.4
2018,14,10.7
2018,15,14.2
2018,16,11.6
2018,17,15.7
2018,18,16.4
2018,19,20.8
2018,20,19.9
2018,21,25.8
2018,22,23.2
2018,23,14.4
2018,24,12.7
2018,25,9.4
2018,26,15.6
2018,27,20.6
2018,28,17.8
2018,29,26.3
2018,30,25.9
2019,1,4.6
2019,2,3.6
2019,3,5.2
2019,4,9.1
2019,5,14.5
2019,6,9.5
2019,7,11.7
2019,8,12
2019,9,10.8
2019,10,11.3
2019,11,10.3
2019,12,12.9
2019,13,14.4
2019,14,18.5
2019,15,12.7
2019,16,15.7
2019,17,23.3
2019,18,22.9
2019,19,16.9
2019,20,13.6
2019,21,21
2019,22,20.4
2019,23,20.9
2019,24,22.1
2019,25,20.3
2019,26,9.1
2019,27,6.4
2019,28,15.6
2019,29,19.8
2019,30,12.9
2020,1,13.1
2020,2,9.6
2020,3,14.6
2020,4,18
2020,5,6.8
2020,6,6.5
2020,7,11.8
2020,8,16.7
2020,9,10.4
2020,10,8.2
2020,11,12
2020,12,13.6
2020,13,9.6
2020,14,12.8
2020,15,13.1
2020,16,12.1
2020,17,15.4
2020,18,9.2
2020,19,14
2020,20,11.2
2020,21,12.8
2020,22,7
2020,23,9.1
2020,24,9.6
2020,25,13.7
2020,26,15.6
2020,27,12.3
2020,28,11.7
2020,29,15.9
2020,30,19.8
2021,1,16.3
2021,2,17.9
2021,3,19.4
2021,4,13.5
2021,5,10.4
2021,6,12.4
2021,7,15.8
2021,8,11.8
2021,9,7.2
2021,10,10.7
2021,11,15.9
2021,12,18.9
2021,13,18.8
2021,14,12.7
2021,15,11.8
2021,16,15.7
2021,17,14.9
2021,18,14.2
2021,19,12.7
2021,20,18.6
2021,21,16.7
2021,22,18.3
2021,23,19.9
2021,24,22.1
2021,25,14.1
2021,26,12.2
2021,27,17.6
2021,28,18.6
2021,29,15
2021,30,13.2
